"pe","lwr","upr","twitter"
1.48693,1.359589,1.613895,"dr_vaezi"
4.264045,3.8902275,4.667448,"drfarhadtajari"
4.167915,4.051896,4.270688,"anarakimohamadi"
3.381185,3.3061255,3.456044,"alisari1397"
3.06844,2.648013,3.446605,"jamali_ir"
1.75027,1.596909,1.900864,"drfalahatpishe"
4.23444,4.137939,4.316087,"hassan_kamran_d"
3.8498,3.808905,3.891558,"drjalilrahimi"
1.75058,1.7077455,1.793452,"oladghobad_f"
2.252415,2.2120255,2.2945655,"s_fatemehoseini"
3.736555,3.672879,3.7923075,"hassannooroozi"
2.07371,1.627476,2.4924295,"haj_zareii"
2.8015,2.7562155,2.8439035,"zahrasaei_ir"
0.283496,-0.0426939800000001,0.62372345,"fintribune"
