"epoch","precision","recall","fscore","accuracy","fold"
4,0.759,0.752,0.755,0.802,1
6,0.822,0.709,0.761,0.819,2
2,0.652,0.897,0.755,0.764,3
4,0.819,0.735,0.775,0.826,4
5,0.796,0.735,0.764,0.816,5
