Name of official/organization,Twitter handle,Official position,Faction,Political affiliation
Tasnim News Agency,@Tasnimnews_Fa,Media,,
Khabar Online,@khabaronlinee,Media,,
ISNA,@isna_farsi,Media,,
Mehr News Agency,@mehrnews_fa,Media,,
Mehr News Agency,@MehrnewsCom,Media,,
Mashregh News,@MashreghNews,Media,,
Iranian news agencies (row 339 - ),,Media,,
ICANA,@icana_ir,Media,,
IRNA,@IRNA_1313,Media,,
ISNA (Farsi),@isna_farsi,Media,,
ILNA,@ilnanews,Media,,
Ettelaat,@EttelaatTweet,Media,,
Financial Tribune,@Fintribune,Media,,
Shargh,@SharghDaily,Media,,
Hamshahri,@hamshahrinews,Media,,
Iran Newspaper,@IranNewspaper,Media,,
Kayhan,@KayhanNewsFa,Media,,
Vatan Emrooz,@vatanemrooz,Media,,
Etemad,@EtemadOnline,Media,,
Etemad,@EtemadOnline,Media,,
